"Время","Rambler, Визиты","Rambler, Доля","Mail.ru, Визиты","Mail.ru, Доля","Google, Визиты","Google, Доля","Яндекс, Визиты","Яндекс, Доля","Остальные, Визиты","Остальные, Доля"
"2015-01-01 - 2015-01-01","741225","0.009174456140628826","6446539","0.07979154685062324","20012764","0.24770646641809912","50680397","0.6272927646344318","2911330","0.03603476595621697"
"2015-01-02 - 2015-01-02","946437","0.009169507966231488","7995399","0.07746302693544237","25294959","0.24506895657714023","65303223","0.6326870394110662","3675662","0.035611469110119705"
"2015-01-03 - 2015-01-03","985794","0.008911702552353181","8552026","0.07731139764696353","27011850","0.24419054344901803","70150340","0.6341679539806931","3917910","0.03541840237097208"
"2015-01-04 - 2015-01-04","1021004","0.008947189085937274","8738732","0.07657863003017697","27816676","0.2437611017334441","72520143","0.6355033202222621","4017944","0.03520975892817967"
"2015-01-05 - 2015-01-05","1040457","0.00884903887046319","8971597","0.07630301933009336","28705422","0.24413829218415484","74754084","0.6357800418872384","4106972","0.03492960772805022"
"2015-01-06 - 2015-01-06","982234","0.008405674587275938","8883639","0.07602361411316798","28551143","0.2443324270517833","74384885","0.6365643395789019","4051778","0.03467394466887089"
"2015-01-07 - 2015-01-07","989203","0.008357049374070136","8980581","0.07587033078633623","28874759","0.24394162434543368","75340178","0.6364938110754139","4182774","0.03533718441874604"
"2015-01-08 - 2015-01-08","1051115","0.00835321534718145","9498622","0.07548558917670793","30695518","0.24393741127020774","80224925","0.6375478180184668","4363401","0.03467596618743609"
"2015-01-09 - 2015-01-09","1075430","0.008527424288650953","9466682","0.07506431289784996","30905694","0.24506101343017586","80314610","0.6368399208200708","4351867","0.03450732856325243"
"2015-01-10 - 2015-01-10","1068070","0.008553500323822467","9389497","0.07519457117045707","30527880","0.24447857487394406","79514788","0.6367838858002517","4369112","0.034989467831524734"
"2015-01-11 - 2015-01-11","1103436","0.00856633179359177","9520294","0.07390913218033576","31536485","0.24482796837662535","82228978","0.638370244034052","4421601","0.03432632361539515"
"2015-01-12 - 2015-01-12","1505419","0.009434218790709974","11367438","0.07123790597955161","38721446","0.2426610753927389","102946950","0.6451519810340378","5028822","0.03151481880296165"
"2015-01-13 - 2015-01-13","1466440","0.009517216596407394","10945196","0.0710344787527153","37640332","0.24428629361220666","99132680","0.6433725125762686","4898217","0.03178949846240203"
